convolution_series,n_convolution,n_dense,dense_series,accuracy,f1_score
Fibonacci,5,5,Fibonacci,65.49671415,0.611351724
Fibonacci,5,5,Square,64.8617357,0.583796591
Fibonacci,5,5,Cube,65.64768854,0.629572108
Fibonacci,5,5,Prime Numbers,66.52302986,0.634011018
Fibonacci,5,5,Ramanujan Summation,64.76584663,0.615370178
Fibonacci,5,5,Triangular Numbers,64.76586304,0.558769387
Fibonacci,5,6,Fibonacci,69.37921282,0.641830038
Fibonacci,5,6,Square,68.56743473,0.687774033
Fibonacci,5,6,Cube,67.33052561,0.598168547
Fibonacci,5,6,Prime Numbers,68.34256004,0.732896967
Fibonacci,5,6,Ramanujan Summation,67.33658231,0.601718453
Fibonacci,5,6,Triangular Numbers,67.33427025,0.629620351
Fibonacci,5,7,Fibonacci,70.84196227,0.62237572
Fibonacci,5,7,Square,68.68671976,0.667163542
Fibonacci,5,7,Cube,68.87508217,0.568888915
Fibonacci,5,7,Prime Numbers,70.03771247,0.62869791
Fibonacci,5,7,Ramanujan Summation,69.58716888,0.60139394
Fibonacci,5,7,Triangular Numbers,70.91424733,0.662766917
Fibonacci,5,8,Fibonacci,72.49197592,0.733722369
Fibonacci,5,8,Square,71.9876963,0.716300309
Fibonacci,5,8,Cube,74.86564877,0.565417032
Fibonacci,5,8,Prime Numbers,73.1742237,0.786103483
Fibonacci,5,8,Ramanujan Summation,73.4675282,0.698763997
Fibonacci,5,8,Triangular Numbers,71.97525181,0.645175043
Fibonacci,5,9,Fibonacci,75.65561728,0.719856396
Fibonacci,5,9,Square,76.31092259,0.720809491
Fibonacci,5,9,Cube,75.04900642,0.678657564
Fibonacci,5,9,Prime Numbers,76.57569802,0.721895833
Fibonacci,5,9,Ramanujan Summation,75.59936131,0.681626386
Fibonacci,5,9,Triangular Numbers,75.90830625,0.6917819
Fibonacci,5,10,Fibonacci,78.39829339,0.705686043
Fibonacci,5,10,Square,80.85227818,0.668366436
Fibonacci,5,10,Cube,78.98650278,0.747291824
Fibonacci,5,10,Prime Numbers,77.94228907,0.769264972
Fibonacci,5,10,Ramanujan Summation,79.82254491,0.76574418
Fibonacci,5,10,Triangular Numbers,77.77915635,0.780996263
Fibonacci,5,11,Fibonacci,82.0088636,0.784217011
Fibonacci,5,11,Square,79.84032988,0.741363725
Fibonacci,5,11,Cube,80.47181395,0.809983193
Fibonacci,5,11,Prime Numbers,81.99686124,0.700124123
Fibonacci,5,11,Ramanujan Summation,82.53846658,0.722966431
Fibonacci,5,11,Triangular Numbers,81.97136828,0.719789996
Fibonacci,5,12,Fibonacci,84.48435172,0.850002803
Fibonacci,5,12,Square,84.2988963,0.843139426
Fibonacci,5,12,Cube,83.12147801,0.820365262
Fibonacci,5,12,Prime Numbers,83.88015579,0.849596493
Fibonacci,5,12,Ramanujan Summation,84.13936123,0.752035861
Fibonacci,5,12,Triangular Numbers,85.65712223,0.813429756
Fibonacci,5,13,Fibonacci,87.74361829,0.817741279
